destination_id,destination_name,country,continent,avg_cost_per_day_usd,season,climate,activities,travel_style,avg_rating,num_reviews,beach,mountains,culture,adventure,relaxation,family_friendly,budget_friendly,luxury,urban,rural,safety_rating,tourist_density,cost_category,rating_category,popularity_score,nature_score,activity_diversity,value_for_money,tourist_density_encoded,continent_Asia,continent_Asia/Europe,continent_Caribbean,continent_Central America,continent_Europe,continent_Europe/Asia,continent_Middle East,continent_North America,continent_Oceania,continent_South America,climate_Cold,climate_Continental,climate_Desert,climate_Mediterranean,climate_Mountain,climate_Temperate,climate_Tropical,climate_Varied,season_Spring/Summer,season_Summer,season_Summer/Winter,season_Winter,season_Winter/Summer,season_Year-round
1,Bali,Indonesia,Asia,-0.7933959391381081,Year-round,Tropical,"Beach,Temple,Surfing,Yoga","Relaxation,Adventure",0.3617405419761626,-0.4084640196798693,1,0,1,1,1,1,1,0,0,1,-0.3882759992081713,High,Budget,Very Good,Medium,0.24735696564124252,1.4971724762794743,0.6714631554289011,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2,Paris,France,Europe,0.9593196848783307,Spring/Fall,Temperate,"Museums,Shopping,Dining,Sightseeing","Culture,Luxury",1.1656084130343,2.1201794597723085,0,0,1,0,0,1,0,1,1,0,0.2090716918813281,Very High,Expensive,Excellent,Very High,-1.6078202766680767,-1.4320780207890624,-0.9406767185193846,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,Tokyo,Japan,Asia,0.2582334352717552,Spring/Fall,Temperate,"Technology,Dining,Shopping,Culture","Culture,Urban",1.969476284092445,1.1558662684557999,0,0,1,0,0,1,0,1,1,0,1.105093228515576,Very High,Mid-range,Excellent,High,-1.6078202766680767,-1.4320780207890624,-0.5793350226344238,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,Maldives,Maldives,Asia,3.0625784336980573,Winter,Tropical,"Diving,Snorkeling,Beach,Spa","Relaxation,Luxury",1.969476284092445,-1.2013437547623318,1,0,0,0,1,0,0,1,0,1,0.8064193829708275,Medium,Luxury,Excellent,Medium,0.24735696564124252,-0.4556611884328836,-1.3576094445404927,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
5,New York,USA,North America,1.6604059344849063,Spring/Fall,Continental,"Museums,Shopping,Theater,Dining","Urban,Culture",-0.44212732908198205,3.0130620443246303,0,0,1,0,0,1,0,1,1,0,-0.6869498447529196,Very High,Expensive,Very Good,Very High,-1.6078202766680767,-1.4320780207890624,-1.1741590450912052,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6,Iceland,Iceland,Europe,0.6788851850357005,Summer,Cold,"Northern Lights,Hiking,Hot Springs","Adventure,Nature",1.1656084130343,-0.737044810795124,0,1,0,1,0,1,0,0,0,1,1.403767074060327,Medium,Expensive,Excellent,Medium,0.24735696564124252,-0.4556611884328836,-0.829494658247089,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
7,Dubai,UAE,Asia,1.239754184720961,Winter,Desert,"Shopping,Luxury,Beach,Architecture","Luxury,Urban",0.3617405419761626,0.8344285380169637,1,0,0,0,1,1,0,1,1,0,0.5077455374260765,Very High,Expensive,Very Good,High,-0.6802316555134171,-0.4556611884328836,-1.050595346288586,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
8,Rome,Italy,Europe,-0.16241831449219013,Spring/Fall,Mediterranean,"History,Dining,Museums,Architecture","Culture,Food",0.3617405419761626,1.6558805158051004,0,0,1,0,0,1,0,0,1,0,-0.08960215366342027,Very High,Mid-range,Very Good,Very High,-1.6078202766680767,-1.4320780207890624,-0.30832875072070337,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,Costa Rica,Costa Rica,Central America,-0.5830700642561355,Year-round,Tropical,"Hiking,Wildlife,Zip-lining,Beach","Adventure,Nature",-0.44212732908198205,0.048691863610919886,1,1,0,1,0,1,1,0,0,1,0.2090716918813281,Medium,Mid-range,Very Good,High,1.174945586795902,0.5207556439232953,0.1896742275822869,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
10,Santorini,Greece,Europe,0.3984506851930703,Summer,Mediterranean,"Beach,Photography,Dining,Sunset","Relaxation,Romantic",1.1656084130343,0.2629836839034773,1,0,1,0,1,0,0,1,0,1,0.5077455374260765,High,Expensive,Excellent,High,0.24735696564124252,0.5207556439232953,-0.6905170829067196,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
