destination_id,destination_name,country,continent,avg_cost_per_day_usd,season,climate,activities,travel_style,avg_rating,num_reviews,beach,mountains,culture,adventure,relaxation,family_friendly,budget_friendly,luxury,urban,rural,safety_rating,tourist_density
1,Bali,Indonesia,Asia,75,Year-round,Tropical,"Beach,Temple,Surfing,Yoga","Relaxation,Adventure",4.7,5420,1,0,1,1,1,1,1,0,0,1,4.3,High
2,Paris,France,Europe,200,Spring/Fall,Temperate,"Museums,Shopping,Dining,Sightseeing","Culture,Luxury",4.8,12500,0,0,1,0,0,1,0,1,1,0,4.5,Very High
3,Tokyo,Japan,Asia,150,Spring/Fall,Temperate,"Technology,Dining,Shopping,Culture","Culture,Urban",4.9,9800,0,0,1,0,0,1,0,1,1,0,4.8,Very High
4,Maldives,Maldives,Asia,350,Winter,Tropical,"Diving,Snorkeling,Beach,Spa","Relaxation,Luxury",4.9,3200,1,0,0,0,1,0,0,1,0,1,4.7,Medium
5,New York,USA,North America,250,Spring/Fall,Continental,"Museums,Shopping,Theater,Dining","Urban,Culture",4.6,15000,0,0,1,0,0,1,0,1,1,0,4.2,Very High
6,Iceland,Iceland,Europe,180,Summer,Cold,"Northern Lights,Hiking,Hot Springs","Adventure,Nature",4.8,4500,0,1,0,1,0,1,0,0,0,1,4.9,Medium
7,Dubai,UAE,Asia,220,Winter,Desert,"Shopping,Luxury,Beach,Architecture","Luxury,Urban",4.7,8900,1,0,0,0,1,1,0,1,1,0,4.6,Very High
8,Rome,Italy,Europe,120,Spring/Fall,Mediterranean,"History,Dining,Museums,Architecture","Culture,Food",4.7,11200,0,0,1,0,0,1,0,0,1,0,4.4,Very High
9,Costa Rica,Costa Rica,Central America,90,Year-round,Tropical,"Hiking,Wildlife,Zip-lining,Beach","Adventure,Nature",4.6,6700,1,1,0,1,0,1,1,0,0,1,4.5,Medium
10,Santorini,Greece,Europe,160,Summer,Mediterranean,"Beach,Photography,Dining,Sunset","Relaxation,Romantic",4.8,7300,1,0,1,0,1,0,0,1,0,1,4.6,High
